ticker,name,current_price,conviction_score,tech_score,ai_boost,recommendation,rsi,target_30d,target_90d,revenue_growth,gross_margin,market_cap_b
NET,Cloudflare Inc,200.85000610351562,90.19999999999999,95,15,BUY,65.36233987821235,234.75963748120304,301.27500915527344,0.265,0.76881,69.616615424
QCOM,Qualcomm Inc,159.05999755859375,83.4,85,5,BUY,53.963121195902566,161.91645945106634,146.0134745884356,0.169,0.55683,174.64786944
SNOW,Snowflake Inc,220.27999877929688,82.8,90,15,BUY,59.333434775030454,247.35100582225135,330.4199981689453,0.257,0.66580003,73.498181632
VEEV,Veeva Systems,286.8999938964844,80.6,90,5,BUY,55.45431802021192,307.77546822446544,403.81971831624026,0.167,0.75499,46.882902016
EA,Electronic Arts,156.25999450683594,79.4,75,5,BUY,57.59363604850647,161.17709213309735,167.7629191582411,0.065,0.79324996,39.263760384
SOFI,SoFi Technologies,21.8700008392334,79.19999999999999,100,5,BUY,66.60865644330445,26.193868875709367,32.8050012588501,0.439,0.82246,24.350932992
MDB,MongoDB Inc,244.36000061035156,78.4,95,5,BUY,73.2394548918237,244.3030015986788,171.05200042724607,0.219,0.7289,19.967707136
TSM,Taiwan Semiconductor,242.91000366210938,77.4,100,5,BUY,62.99275930652664,261.6888064946895,303.85853640153056,0.386,0.58582,1259.857641472
DDOG,Datadog Inc,148.8800048828125,77.4,95,10,BUY,64.47031818631726,158.5925272341572,162.83806835050098,0.246,0.80151004,51.416154112
KLAC,KLA Corporation,924.989990234375,77.19999999999999,95,5,BUY,58.397887162248445,973.4749549698793,1139.5738093826856,0.298,0.60562,122.321600512
CRWD,CrowdStrike Holdings,463.1499938964844,73.6,85,15,BUY,42.94993781932043,523.5458082800027,694.7249908447266,0.198,0.74477,115.4392064
MU,Micron Technology,114.73999786376953,73.6,95,5,BUY,50.24067461851845,122.56285520951593,122.6986624019057,0.366,0.37133998,128.408969216
NOW,ServiceNow Inc,977.47998046875,71.8,95,5,BUY,48.492470070249865,1041.0695305075167,1165.7862496185708,0.224,0.78519,202.845683712
COIN,Coinbase Global,377.4800109863281,71.2,95,5,BUY,54.944344649488364,440.1157734146592,566.2200164794922,0.235,0.85248,96.146046976
LRCX,Lam Research,99.08999633789062,70.8,85,5,BUY,57.279588788363675,104.66364360289047,118.60379654467793,0.244,0.48056,126.747992064
NIO,NIO Inc,4.510000228881836,70.0,65,5,BUY,58.29844486001962,4.671697956555301,3.22321038752588,0.215,0.10205,10.285912064
ZS,Zscaler Inc,287.7300109863281,67.6,95,5,BUY,44.85628388979093,319.77458232138844,431.5950164794922,0.226,0.77463996,44.798410752
AI,C3.ai Inc,24.219999313354492,66.2,80,15,BUY,39.193873673447,25.57702614965338,26.470680018589114,0.256,0.60624003,3.2548288
ASML,ASML Holding,721.4500122070312,66.0,85,5,BUY,41.08235519839362,736.4380501212737,720.4431010582767,0.232,0.52521,284.085354496
ADBE,Adobe Inc,364.0,64.2,85,5,BUY,37.6458714153771,354.65160282418896,254.79999999999998,0.106,0.89248,154.40879616
AMAT,Applied Materials,189.38999938964844,63.599999999999994,70,5,HOLD,54.315195277901,193.9656209475584,164.40204806853646,0.068,0.48136002,151.985094656
OKTA,Okta Inc,99.7699966430664,62.0,80,0,BUY,54.6560942021255,104.23020063785874,149.6549949645996,0.115,0.76688004,17.467031552
TEAM,Atlassian Corp,197.19000244140625,61.599999999999994,80,5,BUY,46.38608435811979,212.09764300550228,295.7850036621094,0.141,0.82308996,51.763560448
ZM,Zoom Video,74.23999786376953,61.4,75,5,BUY,39.99789087740317,78.13784330822507,93.37730892790455,0.029,0.75851,22.46116352
PANW,Palo Alto Networks,183.02999877929688,60.599999999999994,85,5,BUY,36.499501114400424,191.50513924075045,212.44226406597076,0.153,0.73561996,122.044399616
DOCU,DocuSign Inc,77.95999908447266,60.599999999999994,70,5,HOLD,47.114885628477325,83.97103906948496,116.93999862670898,0.076,0.79387003,15.752832
U,Unity Software,32.970001220703125,60.4,65,5,HOLD,61.36208835551023,36.85158653380926,49.1473514553789,-0.055,0.74833,13.705464832
FTNT,Fortinet Inc,101.70999908447266,60.4,80,5,BUY,43.62929033900607,110.68538164772146,152.56499862670898,0.138,0.81342006,77.85046016
TTWO,Take-Two Interactive,223.80999755859375,60.2,75,5,BUY,34.01526956262245,245.01108164683566,335.7149963378906,0.131,0.58164,41.285562368
WDAY,Workday Inc,237.67999267578125,59.8,80,5,HOLD,50.076943967396346,240.94662515562214,243.28342687476487,0.126,0.75655,63.364534272
XPEV,XPeng Inc,18.030000686645508,59.2,65,5,HOLD,44.0109770315329,21.393590875799042,27.04500102996826,1.415,0.15159,17.125850112
CRM,Salesforce Inc,264.80999755859375,58.599999999999994,80,5,HOLD,47.85281190617415,273.8487300391455,277.4501650223606,0.076,0.77336997,253.15835904
RBLX,Roblox Corp,124.94000244140625,58.0,70,0,HOLD,70.29598265350536,144.85158503844926,187.41000366210938,0.292,0.28003,84.7448064
PYPL,PayPal Holdings,69.70999908447266,54.2,60,5,HOLD,37.44645313882663,72.4020447169284,67.92635207284486,0.051,0.41682,66.599399424
PATH,UiPath Inc,12.010000228881836,52.599999999999994,65,5,BUY,38.445502122859054,12.433157019128156,12.19360221989452,0.064,0.82657,6.425818624
LCID,Lucid Group,2.5,51.8,60,5,HOLD,47.952306839317316,2.5014638773831432,1.9923174660358955,0.361,-1.0568,7.681200128
RIVN,Rivian Automotive,13.029999732971191,50.599999999999994,45,5,HOLD,43.6982327393073,13.591906594371459,17.107021157394538,0.03,-0.09329,15.609027584
